-0.0742791,-0.484345,-2.05002
-0.0145419,-0.489856,-2.05004
-0.192529,-0.450593,-2.05001
-0.131657,-0.461022,-2.05005
0.0785528,-0.446477,-2.05011
0.132958,-0.47168,-2.05003
0.189685,-0.451838,-2.05002
-0.246279,-0.423629,-2.05001
0.0160605,-0.438302,-2.05002
0.144182,-0.412806,-2.05007
0.24344,-0.425256,-2.05004
-0.296194,-0.390322,-2.05
-0.198324,-0.387603,-2.05004
-0.140016,-0.40163,-2.05007
-0.0800692,-0.401126,-2.05005
-0.0177528,-0.388766,-2.05005
0.0539583,-0.391835,-2.05004
0.293623,-0.392297,-2.05
-0.148189,-0.342219,-2.05005
-0.0882226,-0.341723,-2.05002
0.0202586,-0.342271,-2.05005
0.107715,-0.365234,-2.05004
0.183378,-0.367408,-2.04999
0.242922,-0.360239,-2.05007
-0.304462,-0.328504,-2.05003
-0.228566,-0.324122,-2.05004
0.0879631,-0.308615,-2.05006
0.146867,-0.31982,-2.05
0.278654,-0.312052,-2.05006
0.379291,-0.310213,-2.05004
-0.400217,-0.282845,-2.05005
-0.340958,-0.273947,-2.05003
-0.281031,-0.2733,-2.05004
-0.178154,-0.283199,-2.05009
-0.118608,-0.290033,-2.05004
-0.0586961,-0.28817,-2.05008
0.198905,-0.290062,-2.05005
0.012333,-0.251722,-2.05008
0.120867,-0.258498,-2.05008
0.250335,-0.259217,-2.05004
0.314436,-0.263931,-2.05008
0.414393,-0.261565,-2.05004
-0.431727,-0.231828,-2.05005
-0.33385,-0.214398,-2.05002
-0.257723,-0.218036,-2.05
-0.198387,-0.226746,-2.05003
-0.0923859,-0.236101,-2.05005
0.174638,-0.231955,-2.05
0.32973,-0.205392,-2.05
-0.45682,-0.177338,-2.05004
-0.392252,-0.186693,-2.05009
-0.132599,-0.189265,-2.05004
-0.0731167,-0.179326,-2.05002
-0.0136743,-0.171268,-2.05001
0.0420504,-0.193441,-2.05004
0.101744,-0.199268,-2.05006
0.174625,-0.171935,-2.05005
0.227565,-0.203765,-2.05004
0.392025,-0.203017,-2.05005
0.458076,-0.173993,-2.05005
-0.348435,-0.145734,-2.05
-0.293569,-0.169958,-2.05003
-0.223287,-0.167149,-2.0501
-0.169037,-0.14162,-2.05002
0.281037,-0.166742,-2.05005
0.374836,-0.143193,-2.05005
-0.475941,-0.116538,-2.05006
-0.416269,-0.124403,-2.05
-0.218277,-0.107383,-2.05002
-0.109864,-0.131954,-2.05001
-0.0503865,-0.123838,-2.05004
0.014756,-0.103547,-2.05004
0.0717623,-0.122167,-2.05002
