Odd Items,Even Items
Sm152          =,"1.04288655597906e-05 [ao]
"
Sm153          =,"4.2069173535051297e-178 [ao]
"
Sm154          =,"2.1793939468565376e-06 [ao]
"
Sn112          =,"1.081702575402154e-17 [ao]
"
Sn114          =,"7.966320966174265e-12 [ao]
"
Sn115          =,"1.3423084360228499e-08 [ao]
"
Sn116          =,"1.2180720830218145e-07 [ao]
"
Sn117          =,"2.8476882576934653e-07 [ao]
"
Sn118          =,"3.065772215479448e-07 [ao]
"
Sn119          =,"2.77380840667659e-07 [ao]
"
Sn120          =,"2.9726508123981854e-07 [ao]
"
Sn122          =,"4.246883424866775e-07 [ao]
"
Sn123          =,"1.7969770195513993e-11 [ao]
"
Sn124          =,"6.693596618782616e-07 [ao]
"
Sn125          =,"1.9677811333704319e-22 [ao]
"
Sn126          =,"1.5347352282380785e-06 [ao]
"
Sr84           =,"6.129282033343544e-15 [ao]
"
Sr86           =,"1.6487645225661053e-08 [ao]
"
Sr87           =,"2.0167393766969236e-10 [ao]
"
Sr88           =,"3.2719017759892626e-05 [ao]
"
Sr89           =,"9.198987102603128e-13 [ao]
"
Sr90           =,"4.8233406220091565e-05 [ao]
"
Ta181          =,"1.7558998578604015e-13 [ao]
"
Ta182          =,"1.0114740240733034e-18 [ao]
"
Tb159          =,"1.5708692499263516e-07 [ao]
"
Tb160          =,"6.278278987898958e-14 [ao]
"
Tc99           =,"6.819695782232277e-05 [ao]
"
Te122          =,"7.721227891177862e-09 [ao]
"
Te123          =,"3.2758679545248074e-11 [ao]
"
Te124          =,"8.209925776085289e-09 [ao]
"
Te125          =,"4.5905073327891867e-07 [ao]
"
Te126          =,"3.4104094095678594e-08 [ao]
"
Te128          =,"6.685245299190142e-06 [ao]
"
Te130          =,"3.09747371292914e-05 [ao]
"
Te132          =,"4.273325645002047e-110 [ao]
"
Th227          =,"7.109686646827514e-19 [ao]
"
Th228          =,"7.545234862107067e-14 [ao]
"
Th229          =,"3.558741105178351e-15 [ao]
"
Th230          =,"1.125483640616518e-12 [ao]
"
Th231          =,"5.46835482834593e-15 [ao]
"
Th232          =,"5.84399801739573e-11 [ao]
"
Th234          =,"3.345013447314167e-13 [ao]
"
Ti47           =,"1.1419661444747795e-25 [ao]
"
Ti48           =,"8.265516068095834e-27 [ao]
"
Ti49           =,"7.306510856699585e-24 [ao]
"
Ti50           =,"1.0225590328033024e-16 [ao]
"
Tl205          =,"6.73974163973838e-38 [ao]
"
U232           =,"3.5945873225643933e-12 [ao]
"
U233           =,"2.3939232214888343e-11 [ao]
"
U234           =,"2.1056033366358156e-07 [ao]
"
U235           =,"0.0013219833629508737 [ao]
"
U236           =,"0.0004578116126514133 [ao]
"
U237           =,"1.5287657539114846e-12 [ao]
"
U238           =,"0.022650789952454297 [ao]
"
U240           =,"9.250908443667954e-21 [ao]
"
W182           =,"1.9642188180097047e-15 [ao]
"
W183           =,"7.130742113571099e-14 [ao]
"
W184           =,"3.602686652021472e-14 [ao]
"
W186           =,"3.2077725793861995e-15 [ao]
"
Xe126          =,"2.8560954389554443e-13 [ao]
"
Xe128          =,"6.365939996243234e-08 [ao]
"
Xe129          =,"2.586034527098694e-10 [ao]
"
Xe130          =,"4.937136608031125e-07 [ao]
"
Xe131          =,"3.952079329477504e-05 [ao]
"
Xe132          =,"7.833897247580832e-05 [ao]
"
Xe133          =,"1.0781624094303747e-69 [ao]
"
Xe134          =,"0.0001222904231037737 [ao]
"
Xe136          =,"0.00017719712601798257 [ao]
"
Y89            =,"4.399768343088958e-05 [ao]
"
Y90            =,"1.223474508961514e-08 [ao]
"
Y91            =,"1.075215954976065e-11 [ao]
"
Yb170          =,"6.519605199379185e-38 [ao]
"
Zr90           =,"5.283566574972909e-06 [ao]
"
Zr91           =,"5.6214145897350666e-05 [ao]
"
Zr92           =,"6.003397761091827e-05 [ao]
"
Zr93           =,"6.571837184319581e-05 [ao]
"
Zr94           =,"6.755239971092245e-05 [ao]
"
Zr95           =,"4.691995251616747e-11 [ao]
"
Zr96           =,"6.911261614047241e-05 [ao]
"
